分组,方法,基准,模型,Agent,计划任务数,解决率(%),提升(pp),状态,来源,备注
A,No memory,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,61.6,0,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
A,No memory,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,21.4,0,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,No memory,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,No memory,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,60.8,0,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,FAISS Flat,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,65.2,3.6,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
A,FAISS Flat,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,26.8,5.4,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,FAISS Flat,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,FAISS Flat,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,64.6,3.8,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,ExpeL,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,62.4,0.8,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
A,ExpeL,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,20.7,-0.7,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,ExpeL,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,ExpeL,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,58.7,-2.1,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,Agent KB,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,64,2.4,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
A,Agent KB,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,38.2,16.8,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,Agent KB,LoLBench100,待确认,待确认,100,,,不纳入,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,Agent KB,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,61.5,0.7,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,ExpeRepair,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,63.6,2,已提供,作者提供，2026-09-24，本对话,作者适配到 mini-SWE-agent；本列为独立的 Verified500 结果。
A,ExpeRepair,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,31.3,9.9,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,作者适配到 mini-SWE-agent；5 次运行的平均解决率；仅报告均值；不展示解决数。
A,ExpeRepair,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,ExpeRepair,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,64.4,3.6,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,ReasoningBank,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,67,5.4,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
